Dendrite: 0,Timestep 1 (Luminosity),Timestep 2 (Luminosity),Timestep 3 (Luminosity),Timestep 4 (Luminosity),Timestep 5 (Luminosity),Timestep 6 (Luminosity),Timestep 7 (Luminosity),Timestep 8 (Luminosity)
"[243.0, 102.0]",254.0,213.0,134.0,144.0,160.0,170.0,156.0,152.0
"[243.0, 103.0]",202.0,164.0,139.0,138.0,162.0,217.0,166.0,136.0
"[243.0, 104.0]",219.0,186.0,132.0,183.0,215.0,176.0,128.0,167.0
"[242.0, 105.0]",218.0,153.0,126.0,138.0,183.0,177.0,160.0,108.0
"[242.0, 105.0]",218.0,153.0,126.0,138.0,183.0,177.0,160.0,108.0
"[242.0, 107.0]",191.0,212.0,185.0,192.0,161.0,179.0,128.0,124.0
"[242.0, 108.0]",194.0,158.0,155.0,164.0,179.0,182.0,147.0,91.0
"[241.0, 109.0]",169.0,177.0,124.0,176.0,180.0,236.0,147.0,92.0
"[241.0, 109.0]",169.0,177.0,124.0,176.0,180.0,236.0,147.0,92.0
"[241.0, 111.0]",153.0,148.0,142.0,200.0,156.0,156.0,174.0,131.0
"[241.0, 112.0]",194.0,128.0,149.0,198.0,155.0,143.0,149.0,134.0
"[240.0, 112.0]",152.0,135.0,137.0,153.0,146.0,110.0,149.0,164.0
"[240.0, 114.0]",190.0,120.0,167.0,219.0,166.0,161.0,121.0,149.0
"[240.0, 114.0]",190.0,120.0,167.0,219.0,166.0,161.0,121.0,149.0
"[240.0, 115.0]",149.0,128.0,167.0,152.0,162.0,176.0,152.0,122.0
"[239.0, 116.0]",150.0,89.0,178.0,136.0,159.0,134.0,139.0,130.0
"[239.0, 118.0]",111.0,85.0,124.0,115.0,107.0,155.0,156.0,140.0
"[239.0, 118.0]",111.0,85.0,124.0,115.0,107.0,155.0,156.0,140.0
"[239.0, 120.0]",103.0,91.0,93.0,66.0,80.0,140.0,95.0,112.0
"[238.0, 120.0]",63.0,59.0,84.0,59.0,89.0,116.0,92.0,87.0
"[238.0, 122.0]",44.0,92.0,66.0,54.0,81.0,81.0,121.0,107.0
"[238.0, 122.0]",44.0,92.0,66.0,54.0,81.0,81.0,121.0,107.0
"[238.0, 124.0]",58.0,44.0,36.0,34.0,61.0,66.0,90.0,77.0
"[237.0, 125.0]",96.0,33.0,36.0,41.0,41.0,47.0,53.0,82.0
"[237.0, 125.0]",96.0,33.0,36.0,41.0,41.0,47.0,53.0,82.0
"[237.0, 127.0]",42.0,30.0,31.0,37.0,39.0,55.0,42.0,70.0
"[237.0, 128.0]",37.0,26.0,25.0,27.0,44.0,59.0,27.0,57.0
"[237.0, 129.0]",51.0,29.0,40.0,38.0,41.0,64.0,32.0,39.0
"[236.0, 129.0]",29.0,25.0,19.0,25.0,40.0,54.0,30.0,56.0
"[236.0, 131.0]",34.0,29.0,33.0,30.0,35.0,50.0,44.0,46.0
"[236.0, 132.0]",28.0,35.0,31.0,37.0,32.0,54.0,29.0,37.0
"[236.0, 133.0]",28.0,30.0,31.0,31.0,32.0,45.0,39.0,41.0
"[235.0, 134.0]",32.0,32.0,33.0,23.0,20.0,30.0,36.0,34.0
"[235.0, 135.0]",52.0,39.0,33.0,30.0,24.0,18.0,47.0,39.0
"[235.0, 136.0]",40.0,34.0,26.0,24.0,38.0,36.0,41.0,36.0
"[235.0, 137.0]",35.0,74.0,30.0,30.0,42.0,45.0,29.0,51.0
"[234.0, 138.0]",76.0,67.0,31.0,52.0,26.0,54.0,33.0,38.0
"[234.0, 139.0]",120.0,80.0,33.0,48.0,35.0,42.0,38.0,34.0
"[234.0, 140.0]",136.0,95.0,42.0,34.0,41.0,49.0,44.0,25.0
"[234.0, 141.0]",93.0,112.0,59.0,61.0,63.0,43.0,31.0,40.0
"[233.0, 142.0]",103.0,79.0,34.0,49.0,31.0,38.0,35.0,31.0
"[233.0, 142.0]",103.0,79.0,34.0,49.0,31.0,38.0,35.0,31.0
"[233.0, 144.0]",80.0,60.0,55.0,67.0,47.0,40.0,38.0,34.0
"[233.0, 144.0]",80.0,60.0,55.0,67.0,47.0,40.0,38.0,34.0
"[233.0, 146.0]",53.0,52.0,72.0,50.0,67.0,56.0,73.0,44.0
"[232.0, 147.0]",35.0,67.0,40.0,55.0,76.0,78.0,74.0,58.0
"[232.0, 148.0]",51.0,34.0,39.0,71.0,100.0,65.0,119.0,50.0
